id;name;attack_modifier;crit_chance;crit_damage;die_value;dice_count;damage_bonus
1;repurpose global;38;84;65;15;18;51
2;synergy architectures;19;97;3;20;84;50
3;New Mexico holistic;77;95;29;34;78;71
4;USB Cote d'Ivoire Tonga;82;48;64;88;38;4
5;withdrawal;99;72;62;16;27;63
6;Indiana Credit Card Account;48;77;14;79;85;14
7;blue synthesize Graphical User Interface;93;55;75;6;75;48
8;Forward solution withdrawal;53;10;3;86;63;77
9;connecting transmitting;79;22;67;50;30;15
10;Idaho Rustic Soft Shoes Guarani;1;50;34;59;39;20
